ID,Beta,Rho,Aniso_X,Aniso_Y,Aniso_Z,Area_Inner,Area_Outer,Total_Area,Volume,SA_Vol_Ratio,Porosity,Pore_Size
446,26.1654,0.4258,78.6,81.01,45.69,7.2034,2.1132,9.3165,0.3293,28.296,0.583,0.0176
447,45.2995,0.5368,50.17,61.76,24.59,12.7503,2.6969,15.4473,0.4206,36.7264,0.4671,0.0908
448,41.3807,0.349,13.0,43.4,70.41,10.7347,1.9114,12.6461,0.2639,47.9283,0.6656,0.016
449,45.9937,0.3044,12.25,14.38,67.14,10.9021,1.5656,12.4677,0.2236,55.7541,0.7166,0.0173
450,32.344,0.4934,85.93,29.33,75.67,9.0409,2.4502,11.4911,0.382,30.0816,0.5158,0.1261
451,38.2965,0.5186,24.0,2.36,87.05,10.7176,2.7327,13.4503,0.4099,32.8109,0.4805,0.1102
452,41.6143,0.6494,41.53,32.86,89.88,10.8935,3.2739,14.1674,0.5077,27.9026,0.3568,0.0966
453,34.0658,0.5287,40.42,17.79,26.16,9.5078,2.6421,12.1499,0.413,29.4186,0.4766,0.1183
454,24.887,0.6792,79.97,18.95,1.07,6.0285,3.5793,9.6078,0.5435,17.6765,0.3113,0.1579
455,43.3648,0.4761,81.52,76.25,43.22,12.161,2.4996,14.6606,0.3718,39.4364,0.5287,0.0933
456,24.9248,0.3933,40.58,36.66,0.09,6.7402,1.9676,8.7078,0.3008,28.9469,0.6188,0.0176
457,32.864,0.4859,36.12,7.26,7.49,9.2881,2.3229,11.611,0.3758,30.8935,0.5238,0.1307
458,42.8663,0.4464,60.47,12.68,8.23,11.9012,2.3839,14.2851,0.3414,41.8433,0.5674,0.1008
459,34.6718,0.6427,18.62,52.01,46.88,9.112,3.2112,12.3232,0.5087,24.2248,0.3556,0.1289
460,36.9021,0.4864,69.14,83.52,70.14,10.43,2.5337,12.9638,0.3795,34.1576,0.5191,0.1163
461,31.0653,0.6332,19.1,50.41,85.61,8.2931,3.2466,11.5398,0.5057,22.8199,0.3593,0.15
462,42.3031,0.3239,63.57,72.32,30.38,10.5362,1.7427,12.279,0.2475,49.6166,0.6865,0.0154
463,37.5282,0.6261,66.44,88.34,58.78,10.001,3.1722,13.1732,0.4948,26.625,0.373,0.1108
464,21.5454,0.6126,24.07,48.27,86.3,5.7844,3.0396,8.824,0.4858,18.1635,0.3846,0.1906
465,32.8486,0.5073,39.29,23.86,2.66,9.2614,2.4505,11.7119,0.3953,29.6297,0.499,0.1426
466,28.5565,0.363,74.67,9.16,78.65,7.4825,1.8732,9.3556,0.2812,33.2735,0.6437,0.0166
467,45.7505,0.4944,42.96,7.89,52.83,12.8333,2.5164,15.3498,0.3873,39.6366,0.5093,0.0863
468,22.996,0.4187,70.06,40.33,65.51,6.3338,2.1702,8.504,0.3347,25.4096,0.5758,0.0172
469,29.4484,0.3015,62.97,38.79,12.02,7.0878,1.5249,8.6127,0.2273,37.8857,0.7119,0.0151
470,25.8918,0.3875,20.27,62.35,33.79,7.0082,1.9302,8.9384,0.2935,30.454,0.6279,0.0177
471,26.9697,0.4206,70.95,43.12,51.75,7.4142,1.9842,9.3983,0.3261,28.8168,0.5867,0.0187
472,21.2664,0.5093,52.65,1.07,53.74,5.9545,2.3185,8.273,0.3909,21.1648,0.5048,0.2066
473,28.4102,0.6007,26.53,3.31,60.79,7.615,3.1654,10.7804,0.4896,22.0191,0.3798,0.135
474,25.3882,0.4598,2.68,12.12,45.3,7.0998,2.1673,9.2671,0.3635,25.4906,0.539,0.1823
475,45.1773,0.395,33.6,62.91,22.18,12.2234,2.1131,14.3365,0.3058,46.8839,0.6125,0.0155
476,30.14,0.5724,87.37,19.11,28.55,8.2208,3.0462,11.267,0.4511,24.9751,0.4285,0.128
