fraction,n_train,seed,r2_mean,best_val_loss,epochs,r2_Area_Inner,r2_Area_Outer,r2_Total_Area,r2_Volume,r2_SA_Vol_Ratio,r2_Porosity,r2_Pore_Size
0.05,400,100,0.9786426301808877,0.02087785385083407,99,0.9955492073864246,0.9724148396780654,0.9949666855004626,0.9926946704113445,0.9924396911462773,0.9927041054161525,0.9097292117274878
0.05,400,101,0.9768528952118406,0.02271816716529429,143,0.9967280316418918,0.9724298087645196,0.9956068119341961,0.992623716263289,0.9943680720013398,0.9925064782280061,0.8937073476496414
0.05,400,102,0.9778433647523446,0.02183222892927006,123,0.9955495076541728,0.9703343030977034,0.9939674752187444,0.9908898914348605,0.9927152621934169,0.9907810132301869,0.9106661004373272
0.05,400,103,0.9769545604846854,0.022541154612554237,171,0.9953131845973606,0.972522010729581,0.9946072391912936,0.9926770326556222,0.9923462885255764,0.9928698931133199,0.8983462745800442
0.05,400,104,0.9789099806110719,0.020782451407285407,105,0.9959608126556055,0.9723723819200845,0.9944265518055458,0.9918914543628842,0.9940304199335077,0.9924137455102163,0.9112744980896588
0.1,800,100,0.9824715524440488,0.017051457150955684,98,0.9968231647451448,0.9734384736014587,0.9958998585737362,0.9935882483374534,0.994972060038267,0.9936210269544541,0.9289580348578274
0.1,800,101,0.9807571694120233,0.0188121440296527,80,0.9958874343096896,0.9736053751401517,0.9946596008192934,0.9932160970787792,0.9945215198541641,0.9930268035220027,0.9203833551600819
0.1,800,102,0.9811482734055009,0.018432465032674372,94,0.9956871497116146,0.9723144459441442,0.9945783287096204,0.992337559437722,0.9928380696442869,0.9919038320974681,0.92837852829365
0.1,800,103,0.9823397201367653,0.01726172026246786,116,0.9961940438154473,0.9728789493176287,0.9943668970497269,0.9924077215034357,0.99410904109959,0.9921828312834919,0.9342385568880363
0.1,800,104,0.981371692739588,0.018242515419842675,83,0.9966533683200088,0.9734635250980572,0.9955569651850912,0.9928584244660347,0.9943255997466158,0.9931349307320299,0.9236090356292789
0.25,2002,100,0.9842992290393731,0.015320054517360404,134,0.9975267678144424,0.9749033646924563,0.9966293421881786,0.9942490932677772,0.9958384842932271,0.9942564772312767,0.9366910737882537
0.25,2002,101,0.9851747635188348,0.014502274949336424,97,0.9971317495113928,0.9763328189978331,0.9965639621823882,0.994397054884315,0.9952256158066732,0.994388486100901,0.9421836571483414
0.25,2002,102,0.9845188833857768,0.015110129199456424,76,0.9967604516985988,0.9746364446767878,0.9963155922696533,0.994308818721567,0.9944534397759379,0.9942302498161519,0.9409271867417409
0.25,2002,103,0.9846937549307075,0.014994266501162201,100,0.9954283219909664,0.9761799361024639,0.9945238995373387,0.9944260161193288,0.9952011655484791,0.9943630762885255,0.9427338689278499
0.25,2002,104,0.9853473047735114,0.01434459348092787,153,0.9963270086428189,0.9757115592222699,0.9955749761181063,0.9945507355306139,0.995083339629411,0.9945007686476546,0.9456827456237054
0.5,4004,100,0.9863912632795413,0.013293705065734684,73,0.9971368098333344,0.9761184139474143,0.9962979691748084,0.9950289474744854,0.9956314949647709,0.9949668180979063,0.949558389464069
0.5,4004,101,0.98529553503341,0.014364972419571131,80,0.9976400849789532,0.9759615787336755,0.9966168220043493,0.9937594806483329,0.9958484626012516,0.9937322070837068,0.9435101091836001
0.5,4004,102,0.9866618404328202,0.013041851372690871,105,0.9974388357599816,0.9763616058591522,0.996650001430057,0.9947246235055575,0.9961135771091763,0.994705822108278,0.9506384172575392
0.5,4004,103,0.9854993451667587,0.014183707244228572,103,0.997383356919251,0.9746573453559652,0.9960322799187046,0.9937700743004731,0.9958585081330281,0.9936936531793642,0.9471001983605241
0.5,4004,104,0.9865386645936315,0.013159849448129535,103,0.9975702809701328,0.9765592819145109,0.9967008021850569,0.9949302016759446,0.9950359754916368,0.9949086210021899,0.9500654889159487
1.0,8008,100,0.9870104944900093,0.01272093724401202,69,0.997305535657947,0.976861152515196,0.9965558447787137,0.9952886357861253,0.9959171371309796,0.9952673165586627,0.9518778390024406
1.0,8008,101,0.9884463477002295,0.011305280437227339,130,0.9976838730312967,0.9804802018595647,0.997096300233855,0.9954235352979786,0.9965148569130061,0.9954137779647539,0.9565118886011514
1.0,8008,102,0.9884505303884241,0.011282269639195874,127,0.997535389181543,0.9799209663090219,0.9968676667822103,0.9956597723390396,0.9969035027468868,0.9956445044508396,0.9566219109094273
1.0,8008,103,0.9871309855260284,0.012601864465977997,71,0.9973953743099189,0.9777198792206404,0.9965875939281582,0.9948740578904521,0.9962376910036911,0.9948254485244075,0.9522768538049299
1.0,8008,104,0.9869407538999218,0.012747521497658454,66,0.997574551360277,0.9763722701501857,0.9970094272420474,0.9942174406800527,0.9952108911904965,0.9941741458272575,0.954026550849135
